Sub-question 1.1 (Current situation),,,,,,,,,,,,,,,,,,,,,,,
"What are the atomic concepts, defined as minimal and independent, that constitute the foundations of a programming paradigm, and how can they be formalised mathematically within a coherent framework to ensure their non-contradiction and orthogonality?",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Title,Authors,DOI,DOI link,Venue,Citation count,Year,Classification Framework,Framework Assessment Rationale,Theoretical Focus,Theoretical Focus Rationale,Academic Rigor,Academic Rigor Assessment,Classification Contribution,Contribution Assessment Rationale,Systematic Analysis,Systematic Analysis Rationale,Full-Text Accessibility,Accessibility Assessment,Publication Language,Language Assessment,Screening judgement,Final Screening Rationale,Screening score
Coordination models and languages for parallel programming,"P. Ciancarini, T. Kielmann",10.1142/9781848160170_0001,https://doi.org/10.1142/9781848160170_0001,International Conference on Parallel Computing,9,2000,no,"While the paper discusses different programming paradigms, it does not present a formal classification system. The focus appears to be on describing coordination models rather than classifying them, so it does not clearly meet this criterion.",yes,"The paper has a strong theoretical focus on coordination models and programming paradigms, discussing fundamental concepts rather than implementation details, so it meets this criterion.",yes,"The writing style and content suggest this is an academic paper, and the formal tone and technical depth indicate it is a peer-reviewed work, so it likely meets this criterion.",maybe,"The paper discusses programming paradigms and coordination models, but it does not appear to focus on classification systems specifically. Therefore, it only partially meets this criterion.",maybe,"The abstract mentions a ""formally defined coordination model"", but it is unclear if the paper employs systematic analysis methods. Therefore, it only partially meets this criterion.",maybe,"I could not determine the full-text accessibility of the paper from the abstract alone, so this was considered a neutral factor in the assessment.",yes,"The abstract is written in English, so the paper meets this criterion.",Exclude,"The abstract discusses programming paradigms and coordination models, but lacks a clear focus on classification systems or frameworks. While demonstrating academic rigor and theoretical depth, the paper does not directly address systematic classification of programming languages. Consequently, it only partially meets the screening criteria, with significant gaps in classification-specific requirements.",2.9
Adding Type Classes to Functional-Logic Languages,"J. Moreno-Navarro, Julio Mariño-Carballo, Andrés del Pozo-Prieto, Ángel Herranz-Nieva, J. García-Martín",-,-,APPIA-GULP-PRODE,9,1996,no,"The paper does not present a formal classification system or taxonomy for programming languages. Instead, it focuses on the integration of type classes into functional-logic languages and their advantages.",maybe,"While the paper has theoretical elements, it focuses more on practical implementation aspects of type classes and their integration with different programming paradigms rather than theoretical classification of programming languages.",yes,"The paper appears to be an academic work with formal analysis and theoretical foundations, likely peer-reviewed given its technical nature and references to other academic works.",no,"The paper focuses on type classes in functional-logic languages and their integration with programming paradigms, but it does not appear to directly contribute to understanding programming language classification systems as its primary focus.",maybe,"The paper appears to employ formal analysis methods, discussing theoretical aspects of type systems and their integration. However, it seems more focused on implementation and feature analysis rather than systematic classification.",maybe,"I could not determine the full-text accessibility of the paper from the abstract alone, so this criterion is uncertain.",yes,"The abstract is written in English, meeting this criterion.",Exclude,"The paper presents a technical analysis of type classes in functional-logic programming languages, demonstrating academic rigor and English language publication. However, it lacks direct contribution to programming language classification systems, with limited focus on systematic classification frameworks or taxonomies. While theoretically grounded, the work does not substantially meet the core screening criteria for a comprehensive programming language classification study.",2.7
Supporting software composition at the programming language level,"Peter H. Fröhlich, A. Gal, M. Franz",10.1016/j.scico.2004.11.004,https://doi.org/10.1016/j.scico.2004.11.004,Science of Computer Programming,11,2005,no,"The paper presents a new programming language (Lagoona) but does not appear to focus on classification frameworks or taxonomies. The discussion is more about implementation and design rather than classification, so it does not meet this criterion.",maybe,"The paper has a strong theoretical component regarding programming paradigms, but it focuses more on implementation and design rather than classification theory, so it only partially meets this criterion.",yes,"The writing style and content suggest this is an academic paper, and the theoretical discussion and formal approach indicate it is a peer-reviewed work, so it meets this criterion.",no,"The paper focuses on programming paradigms and language design, but does not appear to contribute directly to classification systems, so it does not clearly meet this criterion.",maybe,"The abstract suggests a theoretical analysis of programming paradigms, but the paper appears to be more focused on design and implementation rather than systematic classification, so it only partially meets this criterion.",maybe,"I could not determine the full-text accessibility of the paper from the abstract alone, so this was considered a neutral factor in the assessment.",yes,"The abstract was written in English, so the paper meets this criterion.",Exclude,"The abstract describes a programming language design project that, while academically rigorous and theoretically oriented, does not directly contribute to programming language classification systems or frameworks. Despite being a scholarly work in English, the paper's focus on language implementation and paradigm shift rather than systematic classification prevents it from meeting the core screening criteria. Consequently, the study would likely be excluded from a systematic review targeting programming language classification research.",2.7
Evaluation of Software Product Quality Metrics,"A. Molnar, Alexandra Neamţu, S. Motogna",10.1007/978-3-030-40223-5_8,https://doi.org/10.1007/978-3-030-40223-5_8,International Conference on Evaluation of Novel Approaches to Software Engineering,8,2020,no,"The paper does not present or analyze classification systems for programming languages. Instead, it focuses on software quality metrics and their relationships.",no,"While the paper has theoretical elements, it focuses on practical software metrics and quality characteristics rather than theoretical aspects of language classification.",yes,"The paper appears to be a rigorous academic study with detailed methodology, comparative evaluation, and systematic analysis. It references existing research and standards.",no,"The paper focuses on software metrics and quality characteristics rather than programming language classification systems. While it mentions ""diversity of software application types, development platforms and languages,"" this is not the primary focus.",maybe,"The paper does employ systematic analysis methods, studying metric values across 18 years of development history and conducting comparative evaluations. However, this analysis is not focused on language classification.",maybe,"The abstract does not provide direct information about the accessibility of the full text, but given that it appears to be an academic paper with references to ISO standards and existing research, it is likely available through academic channels.",yes,"The abstract is written in English, suggesting the paper is also written in English.",Exclude,"The study primarily addresses software quality metrics and longitudinal analysis, falling short of the specific screening criteria focused on programming language classification systems. Despite demonstrating academic rigor and systematic methodology, the paper does not contribute to theoretical frameworks or taxonomies of programming languages. Consequently, the work does not align with the core requirements of the systematic review.",2.5
Unifying and Generalizing Relations in Role-Based Data Modeling and Navigation,"D. Harkes, E. Visser",10.1007/978-3-319-11245-9_14,https://doi.org/10.1007/978-3-319-11245-9_14,Software Language Engineering,16,2014,no,"The paper presents a systematic analysis of approaches, but not specifically for classifying programming languages. The framework is for modeling relations, not language classification, so it does not meet this criterion.",no,"The paper has a theoretical focus on modeling and navigating relations, but this is not focused on language classification theory, so it does not meet this criterion.",maybe,"The systematic approach and technical nature of the paper suggest it is an academic work, so it likely meets this criterion, though the peer-review status is not explicitly stated.",no,"The paper focuses on analyzing approaches to modeling and navigating relations, which involves programming language features, but does not directly contribute to classification systems. Therefore, it does not clearly meet this criterion.",yes,"The abstract explicitly mentions ""systematic analysis"", so the paper meets this criterion.",maybe,"I could not determine the full-text accessibility of the paper from the abstract alone, so this was considered a neutral factor in the assessment.",yes,"The abstract is written in English, so the paper meets this criterion.",Exclude,"The abstract describes a systematic analysis of relation modeling in programming languages, but fails to meet key screening criteria related to language classification systems. While demonstrating academic rigor and systematic methodology, the study's focus on relation navigation and data modeling diverges from the required theoretical framework for programming language classification. Consequently, the paper does not align sufficiently with the specified screening requirements.",2.5
2011 international workshop on foundations of object-oriented languages (fool'11): splash/oopsla '11 workshop summary,"Jonathan Aldrich, Jeremy G. Siek, E. Zucca",10.1145/2048147.2048228,https://doi.org/10.1145/2048147.2048228,OOPSLA Companion,0,2011,no,"The abstract does not indicate any formal classification systems or taxonomies. It mentions ""integration with other paradigms"" but does not suggest a classification framework.",yes,"The paper strongly meets this criterion, focusing on ""foundations"" and ""sound principles"" of object-oriented languages, with emphasis on theoretical aspects like type theory and semantics.",maybe,"Being a workshop paper, it likely underwent peer review, though workshop papers typically have less rigorous review than full conference or journal papers.",no,"The paper appears to focus on the foundations of object-oriented languages rather than classification systems specifically. While it discusses ""key concepts,"" it does not explicitly address classification systems.",maybe,"The abstract mentions ""sound principles"" and ""foundations,"" suggesting theoretical analysis, but does not explicitly describe systematic analysis methods.",maybe,"The abstract does not provide direct information about the full-text accessibility of the paper. However, since it is a workshop paper, it is likely available through academic channels, though this remains uncertain.",yes,"The abstract is in English, suggesting the paper is likely written in English.",Exclude,"The workshop paper focuses on theoretical foundations of object-oriented languages, demonstrating strong academic rigor and theoretical depth, but lacks explicit evidence of classification system analysis. While meeting several screening criteria like publication language and theoretical focus, the abstract does not clearly indicate systematic classification frameworks or direct contributions to programming language classification systems.",2.9
TraitRecordJ: A programming language with traits and records,"Lorenzo Bettini, Ferruccio Damiani, Ina Schaefer, Fabio Strocco",10.1016/j.scico.2011.06.007,https://doi.org/10.1016/j.scico.2011.06.007,Science of Computer Programming,24,2013,no,"The paper does not present or analyze classification frameworks for programming languages. Instead, it describes a specific language implementation and its features.",no,The paper focuses primarily on implementation details and specific language features (traits and records) rather than theoretical aspects of language classification.,yes,"The paper appears to be a formal academic work with implementation details and a case study, suggesting peer review. The technical nature and formal presentation indicate academic rigor.",no,The paper focuses on implementing a specific language (TraitRecordJ) rather than contributing to classification systems or taxonomies of programming languages. It describes a language extension but does not analyze classification systems.,no,"While the paper includes implementation and a case study, it appears to be more focused on describing a language implementation rather than conducting systematic analysis of classification systems.",maybe,"The abstract does not provide direct information about the full-text accessibility of the paper. However, since this appears to be an academic paper with a formal implementation and case study, it is likely available through academic channels.",yes,"The abstract is written in English, suggesting the paper is also written in English.",Exclude,"The paper describes a specific programming language implementation (TraitRecordJ) that lacks direct contributions to programming language classification systems or theoretical frameworks. While demonstrating academic rigor and written in English, the work primarily focuses on language extension implementation rather than systematic analysis of classification approaches. Consequently, the paper does not meet several key screening criteria related to classification theory and systematic analysis.",2.5
On automatic approaches to multi-language programming via code reusability,Arturo J. Sánchez-Ruíz,-,-,-,4,1996,no,"The paper presents frameworks (scATM and scROOM) for handling type systems across languages, but these aren't classification systems for categorizing programming languages themselves. They're more about interoperability and type correspondence.",no,"The paper has a strong theoretical focus, but it's centered on type systems and multi-language programming rather than language classification theory.",yes,"As a dissertation, this appears to be a rigorous academic work with formal analysis and theoretical foundations.",no,"While the paper discusses programming languages, it focuses on multi-language programming and type correspondence rather than classification systems. It doesn't directly contribute to understanding programming language classification.",maybe,"The paper does employ systematic analysis methods, particularly in its formal treatment of type correspondence problems and the proof of undecidability. However, this analysis isn't focused on language classification.",maybe,"The abstract appears to be from a dissertation, which typically means the full text is accessible through academic channels. However, this isn't explicitly confirmed in the abstract.",yes,"The abstract is written in English, meeting this criterion.",Exclude,"The dissertation focuses on multi-language programming and type correspondence, which diverges significantly from programming language classification systems. While demonstrating academic rigor and systematic analysis, the work does not directly contribute to understanding language classification frameworks or taxonomies. Consequently, the paper does not meet the core screening criteria for inclusion in a review of programming language classification research.",2.7
"Processing Declarative Knowledge: International Workshop PDK '91, Kaiserslautern, Germany, July 1-3, 1991. Proceedings","Harold Boley, Michael M. Richter",-,-,-,6,1991,no,"I stated that there was no clear indication that the paper presented or analyzed formal classification systems or taxonomies for programming languages. While it discussed various programming paradigms and languages, it appeared to focus more on implementation and applications.",no,"I stated that the titles suggested a mix of theoretical and implementation-focused papers, with many clearly focused on implementation details rather than theoretical classification.",maybe,"I noted that while the content appeared technical and academic in nature, the format (appearing to be a collection of titles) made it difficult to determine if this was a peer-reviewed work. The technical nature suggested academic rigor, but the format was unusual.",no,"I noted that the abstract appeared to be a collection of titles or abstracts about various programming languages and systems, but did not clearly indicate a focus on classification systems. While it mentioned some language comparisons, it did not seem to focus on classification systems.",no,I suggested that the abstract indicated a collection of technical papers rather than a systematic analysis of classification systems. The titles indicated implementation-focused and technical papers rather than systematic analysis of classification frameworks.,maybe,"I could not determine the full-text accessibility of the paper from the abstract alone, which was a significant uncertainty.",yes,"I determined that the abstract was written in English, meeting this criterion.",Exclude,"The document appears to be a collection of technical titles about programming languages and systems, lacking a clear focus on classification frameworks or systematic analysis of language categorization. While technically oriented and in English, the content does not demonstrate a primary emphasis on theoretical classification systems or rigorous comparative methodologies. The unusual format and implementation-heavy titles suggest limited alignment with the specified screening criteria.",2.5
Design Languages: A Necessary New Generation of Computer Languages,B. Selić,10.1007/978-3-030-03418-4_17,https://doi.org/10.1007/978-3-030-03418-4_17,Leveraging Applications of Formal Methods,1,2018,no,"While the paper discusses language paradigms and their evolution, it does not appear to present formal classification systems or taxonomies, so it does not clearly meet this criterion.",yes,"The paper focuses on theoretical aspects of language evolution and requirements, discussing paradigms and fundamental changes rather than implementation details, so it meets this criterion.",yes,"The paper appears to be an academic analysis, and the structure and content suggest it is a peer-reviewed work, so it likely meets this criterion.",maybe,"The paper discusses programming language evolution and new language paradigms, but it does not explicitly focus on classification systems, so it only partially meets this criterion.",maybe,"The abstract suggests a structured analysis of language shortcomings and requirements, but it appears more descriptive than formally systematic, so it only partially meets this criterion.",maybe,"I could not determine the full-text accessibility of the paper from the abstract alone, so this was considered a neutral factor in the assessment.",yes,"The abstract was written in English, so the paper meets this criterion.",Exclude,"The abstract discusses programming language evolution but lacks explicit focus on classification systems, taxonomies, or systematic classification frameworks. While academically rigorous and theoretically oriented, the paper does not directly address the core screening criteria related to programming language classification. Consequently, the work only partially meets the required screening standards.",2.9
Automatic compile-time parallelization of CLP programs by analysis and transformation to a concurrent constraint language.,"F. Bueno, Maria Jose Garci'a de la Banda, M. Hermenegildo",-,-,-,4,1995,no,"While the paper discusses analysis domains, these are for parallelization purposes and do not present or analyze classification systems for programming languages. Therefore, it does not meet this criterion.",no,"While the paper is theoretical in nature, its focus is on parallelization and dependency analysis, not on theoretical aspects of language classification. Therefore, it does not meet this criterion.",yes,"The paper appears to be a formal academic study with systematic evaluation, including analysis of efficiency, accuracy, and effectiveness. Therefore, it meets this criterion.",no,"The paper focuses on parallelization of CLP programs and analysis domains, and does not appear to contribute to programming language classification systems. Therefore, it does not meet this criterion.",maybe,"The paper does employ systematic analysis methods, but these are focused on parallelization and dependency analysis, not language classification. Therefore, it only partially meets this criterion, but not in the relevant domain.",maybe,"I could not determine the full-text accessibility of the paper from the abstract alone, so this was considered a neutral factor in the assessment.",yes,"The abstract was written in English, so the paper meets this criterion.",Exclude,"The abstract describes a technical study on constraint logic programming parallelization, which fundamentally diverges from programming language classification systems. Despite demonstrating academic rigor and systematic analysis, the paper fails to meet critical screening criteria related to language classification frameworks and theoretical contributions. Consequently, the work does not align with the systematic review's core objectives.",1.4
Suitability of Programming Languages for Categorical Databases,"D. A. Nelson, B. Rossiter",-,-,-,1,2009,no,"While the paper does analyze multiple programming languages, it does not appear to present or analyze formal classification systems or taxonomies. The focus is on implementation suitability rather than classification frameworks.",no,"The paper's focus appears to be more practical (finding a suitable implementation language) rather than theoretical. While it mentions category theory, this seems to be in the context of the database model rather than language classification theory.",yes,"The author's academic position is mentioned, and the paper appears to be a research work rather than a tutorial or opinion piece.",no,"The paper examines programming languages across different paradigms, but its primary focus appears to be on finding a suitable implementation language for a database model rather than contributing to language classification systems.",maybe,"The paper appears to employ some systematic analysis in comparing five programming languages, but the abstract does not indicate whether this analysis is formal or rigorous enough to meet this criterion.",maybe,"The abstract does not provide direct information about the full-text accessibility of the paper, so this criterion is uncertain based on the information given.",maybe,"The abstract is in English, suggesting the paper is likely written in English, though this is not explicitly confirmed.",Exclude,"The study primarily focuses on finding a suitable programming language for implementing a database model, with limited direct contribution to programming language classification systems. While the research involves systematic analysis of multiple programming paradigms, it lacks a clear theoretical framework for language classification and appears more oriented toward practical implementation than systematic categorization. The work's academic rigor is evident, but its alignment with comprehensive language classification criteria is minimal.",2.7
Tempo: A Declarative Concurrent Programming Language,"S. Gregory, Rafael Ramírez",10.7551/mitpress/4298.003.0053,https://doi.org/10.7551/mitpress/4298.003.0053,International Conference on Logic Programming,17,1995,no,"The paper does not present or analyze classification systems or taxonomies. It describes a specific language and its features, so it does not meet this criterion.",no,"While the paper has theoretical elements (first-order logic, safety properties), it is primarily focused on presenting a specific language rather than theoretical classification. It does not meet this criterion.",yes,"The paper appears to be a formal academic paper based on the technical content and structure, and it is likely peer-reviewed given the technical nature. It meets this criterion.",no,"The paper focuses on presenting a specific programming language (Tempo) rather than contributing to classification systems. While it mentions comparing paradigms, this is not its primary focus, so it does not clearly meet this criterion.",maybe,"The abstract suggests formal analysis through logical foundations, but the paper is focused on the language itself rather than systematic analysis of classification. It partially meets this criterion, but not in the intended way.",maybe,"I could not determine the full-text accessibility of the paper from the abstract alone, so this was considered a neutral factor in the assessment.",yes,"The abstract is written in English, so the paper meets this criterion.",Exclude,"The abstract describes a programming language presentation that lacks direct contributions to classification systems or theoretical frameworks for language categorization. Despite being an English-language academic work with formal analysis, the paper fails to meet key screening criteria related to classification methodology and systematic taxonomic approaches. Consequently, the study does not align with the core requirements of the screening process.",2.5
First-class isomorphic specialization by staged evaluation,"A. Slesarenko, A. Filippov, Alexey Romanov",10.1145/2633628.2633632,https://doi.org/10.1145/2633628.2633632,Workshop on Generic Programming,6,2014,no,"The paper presents a framework, but it is for implementing software components with specialization capabilities, not for classifying programming languages. It does not present a taxonomy or classification system for programming languages.",no,"While the paper has strong theoretical components, its focus is on implementation techniques and performance optimization rather than theoretical aspects of language classification.",yes,"The paper appears to be an academic work with formal analysis and implementation, likely peer-reviewed given its technical depth and systematic approach.",no,"The paper focuses on programming language mechanisms and their implementation, but does not directly contribute to classification systems. It is more about implementation techniques than classification.",maybe,"The paper does employ systematic and formal analysis methods, including ""formalized framework,"" ""term rewriting rules,"" and ""systematic approach."" However, this analysis is not focused on language classification.",maybe,"The abstract does not provide direct information about the accessibility of the full text, so this would need to be verified separately.",yes,"The abstract is written in English, meeting this criterion.",Exclude,"The paper presents a technical approach to software component implementation with systematic analysis, but does not directly contribute to programming language classification systems. While demonstrating academic rigor and theoretical depth, the study focuses on performance optimization and abstraction mechanisms rather than language classification frameworks. Consequently, the work does not meet the core screening criteria for a systematic review of programming language classification.",2.5
Using programming language concepts to teach general thinking skills,M. Rinard,10.1145/1480828.1480853,https://doi.org/10.1145/1480828.1480853,SIGP,2,2008,no,"The paper doesn't present or analyze formal classification systems for programming languages. Instead, it discusses different programming paradigms (like logic programming) as teaching tools, but not as part of a classification framework.",no,"While the paper has theoretical elements (particularly regarding abstraction), its primary focus is on educational applications and teaching methods rather than theoretical aspects of language classification.",yes,"The paper appears to be an academic work, likely peer-reviewed given its formal structure and theoretical content. However, it seems more focused on educational approaches than research analysis.",no,"While the paper discusses programming languages and their theoretical aspects, it focuses more on teaching approaches and pedagogical methods rather than contributing to classification systems. The paper appears to be about using programming languages as a tool for teaching abstraction concepts.",no,"The paper appears to be more pedagogical and descriptive in nature, focusing on teaching approaches rather than systematic analysis of programming languages. While it mentions formal connections between semantics and type systems, this isn't the primary focus.",maybe,"The abstract does not provide information about the accessibility of the full text, so this is uncertain from the abstract alone.",yes,"The abstract is written in English, meeting this criterion.",Exclude,"The document primarily addresses pedagogical approaches to teaching programming language concepts, focusing on educational methodology rather than systematic classification of programming languages. While written in English and demonstrating academic rigor, the text lacks direct contributions to programming language classification frameworks or systematic analysis. Consequently, the work does not align closely with the specified screening criteria for a systematic review of programming language classification systems.",2.7
Interoperable Grammars,M. Maxwell,-,-,-,7,2007,no,"The paper presents formal frameworks, but for morphological parsing rather than programming language classification. While it discusses theoretical frameworks, they are not relevant to the target domain.",maybe,"The paper has a strong theoretical focus, but it is focused on linguistic morphology and parsing rather than programming language classification.",yes,"The paper appears to be a rigorous academic work, with formal analysis, theoretical foundations, and references to other academic works. It is clearly not a tutorial or opinion piece.",no,"While the paper discusses classification systems, it focuses on morphological parsing and grammar systems rather than programming language classification. The classification aspects discussed are about linguistic features, not programming languages.",maybe,"The paper employs systematic analysis methods, discussing formal declarative grammars and theoretical foundations. However, these analyses are focused on linguistic parsing rather than programming language classification.",maybe,"The abstract does not provide direct information about the full-text accessibility of the paper. However, since the paper appears to be an academic work with references to other academic sources and online resources, it is likely available through academic channels.",yes,The paper is clearly written in English.,Exclude,"The paper presents a rigorous academic work on morphological parsing, but fundamentally fails to meet the screening criteria focused on programming language classification. Despite demonstrating strong academic methodology and theoretical depth, the study's core subject matter of linguistic grammar systems diverges significantly from the required domain of programming language classification frameworks. Consequently, the paper does not align with the systematic review's specific research objectives.",2.5
Integration of database programming and query languages for distributed object bases : a dissertation presented in partial fulfilment of the requirements for the degree of Doctor of Philosophy in Information Systems at Massey University,M. Kirchberg,-,-,-,3,2007,no,The abstract does not indicate any formal classification systems or taxonomies for programming languages. The focus is on database architecture and language integration.,no,"While the paper has theoretical elements, its focus is primarily on practical implementation and integration of programming languages with database systems, rather than theoretical aspects of language classification.",yes,"As a thesis, this appears to be an academic work with formal research objectives and methodology, meeting this criterion.",no,"The paper discusses programming paradigms (object-oriented vs. relational), but it does not appear to focus on classification systems for programming languages. Instead, it focuses on database integration and language design for database programming.",maybe,"The paper appears to employ systematic analysis in its research approach, but this is focused on database integration rather than language classification.",maybe,"The abstract suggests the paper may be available through academic repositories or university libraries, as it appears to be from a thesis. However, this cannot be confirmed from the abstract alone.",yes,"The abstract is written in English, meeting this criterion.",Exclude,"The research focuses on database integration and language design, diverging significantly from programming language classification systems. Despite being a rigorous academic work in English, the study lacks direct engagement with classification frameworks, taxonomies, or systematic analysis of programming language categorization. Consequently, the paper does not meet the core screening criteria for programming language classification research.",2.7
Optimization and relaxation in logic languages,K. Govindarajan,-,-,-,9,1997,no,"The paper does not present or analyze classification systems for programming languages. While it discusses formal frameworks (preference logic grammars), these are for solving optimization problems rather than classifying programming languages.",no,"While the paper is theoretical in nature, its theoretical focus is on optimization and relaxation problems in logic programming, not on programming language classification.",maybe,"As a dissertation, this work likely meets academic rigor standards, though being a dissertation rather than a peer-reviewed paper creates some uncertainty.",no,"The paper focuses on logic programming languages and their semantics, but does not appear to contribute to classification systems for programming languages. Instead, it focuses on optimization and relaxation problems within logic programming.",maybe,"The paper appears to employ formal analysis methods, discussing logical treatments and formal frameworks. However, this analysis is not directed at language classification.",maybe,"The abstract indicates this is a dissertation, which typically means the full text is accessible through academic channels. However, without explicit confirmation, there is some uncertainty.",yes,"The abstract is in English, meeting this criterion.",Exclude,"The dissertation focuses on logic programming and optimization problems, fundamentally diverging from programming language classification research. Despite being an academic work with systematic analysis, it fails to meet critical screening criteria related to language classification frameworks and theoretical contributions. Consequently, the paper does not align with the review's core objectives and would be excluded from further consideration.",1.4
Gradual structuring: Evolving the spreadsheet paradigm for expressiveness and learnability,"Gary Miller, F. Hermans, R. Braun",10.1109/ithet.2016.7760759,https://doi.org/10.1109/ithet.2016.7760759,International Conference on Information Technology Based Higher Education and Training,3,2016,maybe,"The paper presents a theoretical framework for understanding spreadsheet evolution through ""Gradual Structuring,"" which is analogous to gradual typing in programming languages. However, this is not a formal classification system for programming languages in general.",yes,"The paper has a strong theoretical focus, discussing conceptual frameworks and language features rather than implementation details.",yes,"The paper appears to be an academic work with theoretical foundations and research focus. The mention of ""ongoing research"" and theoretical analysis suggests academic rigor.",maybe,"The paper discusses programming language features and their evolution, particularly in the context of spreadsheets. While it touches on classification concepts (dynamic vs. static programming), it is not primarily focused on classification systems.",maybe,The abstract suggests a theoretical analysis approach but does not explicitly mention systematic or formal analysis methods. The focus appears to be more on conceptual development than systematic evaluation.,maybe,"The abstract does not provide information about the full-text accessibility of the paper, so this criterion is uncertain based on the information available.",yes,"The abstract is written in English, meeting this criterion.",Exclude,"The paper presents a theoretical exploration of spreadsheet programming language features with partial alignment to classification system criteria, demonstrating academic rigor and theoretical depth. While addressing conceptual frameworks and language evolution, the study does not comprehensively meet all screening requirements for a systematic programming language classification analysis. The work offers insights into gradual structuring but falls short of a definitive classification system.",3.2
Inclusional Theories in Declarative Programming,"Marco Schorlemmer, J. Agustí-Cullell",-,-,APPIA-GULP-PRODE,2,1996,no,"The paper discusses theoretical frameworks for handling inclusions in programming languages, but this is not specifically about classifying programming languages themselves. Rather, it is about theoretical foundations for a specific type of programming paradigm.",yes,"The paper is strongly theoretical, focusing on operational semantics, deduction techniques, and algebraic structures.",maybe,"The technical nature and theoretical focus of the paper suggest it is an academic work, though the peer review status cannot be confirmed from the abstract alone.",no,"The paper focuses on operational semantics and deduction techniques for logic programming languages, particularly regarding inclusion relations. While this relates to programming language analysis, it does not directly contribute to classification systems.",yes,"The paper appears to employ formal analysis methods, discussing operational semantics, theorem proving, and algebraic structures.",maybe,"The abstract does not provide information about the accessibility of the full text, so this criterion is uncertain based on the information given.",yes,"The paper appears to be written in English, though there are some minor typographical errors.",Exclude,"The abstract presents a technically rigorous academic work focused on operational semantics and inclusion relations in logic programming, but fails to meet key screening criteria related to programming language classification systems. While demonstrating strong theoretical foundations and systematic analysis, the study does not directly contribute to understanding or developing classification frameworks for programming languages. Consequently, the paper does not align with the primary screening objectives.",2.7
MELDing Multiple Granularities of Parallelism,"Gail E Kaiser, S. S. Popovich, Wenwey Hseush, S. F. Wu",10.7916/D8X355JK,https://doi.org/10.7916/D8X355JK,European Conference on Object-Oriented Programming,23,1989,no,"There is no evidence in the abstract of the paper presenting or analyzing formal classification systems, taxonomies, or theoretical frameworks for categorizing programming languages, so it does not meet this criterion.",no,"The focus of the paper is primarily on implementation details and specific language features rather than theoretical aspects of language classification, so it does not meet this criterion.",maybe,"While the paper is likely an academic work, the abstract does not provide clear evidence of peer review. The experimental nature of the paper suggests it might be a research paper, so it partially meets this criterion.",no,"The paper focuses on describing a specific programming language (MELD) rather than contributing to the understanding of programming language classification systems, so it does not meet this criterion.",no,"The abstract suggests a descriptive approach to presenting language features, and there is no indication of the use of systematic or formal analysis methods, so the paper does not meet this criterion.",maybe,"I could not determine the full-text accessibility of the paper from the abstract alone, so this was considered a neutral factor in the assessment.",yes,"The abstract was written in English, so the paper meets this criterion.",Exclude,"The abstract describes a programming language development project that lacks systematic analysis of classification frameworks or theoretical contributions to language categorization. Despite being in English, the text primarily focuses on language features and implementation details rather than meeting the required screening criteria for a classification-focused study. Consequently, the paper does not align with the core requirements for inclusion in the review.",1.4
Syntactic finitism in the metatheory of programming languages,"C. Schürmann, Jeffrey Sarnat",-,-,-,4,2010,no,"The paper does not present or analyze classification systems for programming languages. Instead, it focuses on formal proof methods and syntactic finitism.",yes,"The paper is strongly theoretical, focusing on formal methods and proof principles. However, its theoretical focus is not on language classification but rather on formal verification and proof systems.",yes,"As a dissertation, this appears to be a rigorous academic work. The abstract demonstrates scholarly depth and formal analysis.",no,"The paper focuses on formal methods and proof systems for programming languages, but does not appear to directly contribute to classification systems or taxonomies of programming languages. It's more about formal verification and proof principles.",yes,"The paper clearly employs systematic and formal analysis methods, discussing mathematical soundness, formal methods, and proof theory. However, this analysis isn't directed at language classification.",maybe,"The abstract appears to be from a dissertation, which typically means the full text is accessible through academic channels. However, this isn't explicitly confirmed in the abstract.",yes,"The abstract is in English, meeting this criterion.",Exclude,"The dissertation demonstrates strong academic rigor and theoretical depth in programming language research, but fundamentally lacks direct contribution to programming language classification systems. While meeting several methodological criteria, the work fails to address core requirements related to language taxonomy and classification frameworks. Consequently, the paper does not align with the systematic review's primary objectives.",2.5
