Sub-question 1.2 (Contribution),,,,,,,,,,,,,,,,,,,,,,,,,,,
"How can we define a set of conceptual primitives that enable programming paradigms to be reconstructed in a minimal and orthogonal manner, and how can we formally guarantee these properties within a unified mathematical framework?",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Title,Authors,DOI,DOI link,Venue,Citation count,Year,Fundamental Analysis,Fundamental Analysis Rationale,Formal Framework,Formal Framework Assessment,Paradigm Theory,Paradigm Theory Rationale,Language Design Principles,Design Principles Assessment,Theoretical Foundation,Theoretical Foundation Rationale,Implementation Focus,Implementation Focus Assessment,Theoretical Contribution,Contribution Assessment Rationale,Publication Language,Language Assessment,Full-Text Accessibility,Accessibility Assessment,Screening judgement,Final Screening Rationale,Screening score
El Lenguaje CLP(H/E): Una Aproximación basada en Restricciones a la Integración de la Programación Lógica y Funcional,María Alpuente Frasnedo,-,-,-,0,1991,yes,"The paper provides strong evidence of fundamental analysis of programming language constructs, particularly focusing on the integration of logical and equational programming at a theoretical level.",yes,"The paper presents a formal mathematical framework, discussing formal semantics, model intersection properties, and mathematical structures (Herbrand universe, congruences).",yes,"The paper explicitly examines programming paradigm foundations, specifically the integration of logical and equational programming paradigms, and provides comparative theoretical analysis.",yes,"The paper discusses fundamental design principles in programming languages, particularly focusing on the integration of logical and equational languages, and examines orthogonality in combining different programming paradigms.",yes,"The paper has a very strong theoretical foundation, presenting formal theoretical foundations for integrating logic and equational programming, including mathematical structures and semantic properties.",yes,"While implementation is mentioned briefly, it serves to support the theoretical contributions rather than being the primary focus.",yes,"The paper clearly focuses on theoretical contributions rather than practical aspects, developing new theoretical foundations for integrating programming paradigms.",yes,"The paper is written in English, meeting the publication language criterion.",maybe,"The full text of the paper is likely accessible, as it appears to be a thesis, which often have accessible full texts.",Include,"This thesis presents a rigorous theoretical exploration of programming language integration, focusing on the mathematical foundations of combining logical and equational programming paradigms. The work demonstrates a comprehensive formal framework with strong theoretical contributions, examining fundamental design principles and semantic properties across computational logic domains. Its approach provides a sophisticated analysis of programming language constructs through a mathematical lens, offering significant insights into paradigm integration and computational theory.",4.9
"Component-based Programming under Different Paradigms a Personal View on Components Gj: Making Java Easier to Type, and Easier to Type Polytypic Programming a Simple Approach to Generic Functional Programming Behavior Protocols and Components Separation of Concerns with Adaptive Plug-n-play Componen","P. Wadler, K. Weihe, Konstanz, K. Weihe, P. Wadler, Johan Jeuring, Ralf Hinze, F. Plášil, Stanislav Visnovsky, Milos Besta, Mira Mezini, Karl Lieberherr, Günter Kniesel, Peter Thiemann, Todd Veldhuizen, Thomas Genßler, Fzi Karlsruhe, Erik Meijer, Lutz Kettner, S. Krishnamurthi, Reinhard Budde, Gmd",-,-,-,0,-,yes,"The paper analyzes fundamental programming language constructs and paradigm foundations at a theoretical level, meeting the fundamental analysis criterion.",maybe,"While the paper mentions ""theoretical insights,"" it explicitly states ""we want to put emphasis on practical know-how,"" suggesting limited formal mathematical framework usage, partially meeting the formal framework criterion.",yes,"The paper strongly focuses on programming paradigm foundations and comparative analysis across different paradigms (OO, template-oriented, functional), meeting the paradigm theory criterion.",yes,"The paper discusses fundamental design principles across programming paradigms, including object-oriented, template-oriented, and functional programming techniques, meeting the language design principles criterion.",maybe,"The paper appears to focus more on practical combinations and implementations rather than formal theoretical foundations, though some theoretical aspects are mentioned, partially meeting the theoretical foundation criterion.",yes,"The paper discusses implementation aspects (Java and C++ extensions) in service of broader theoretical understanding of paradigm combinations, meeting the implementation focus criterion.",maybe,"The abstract suggests a stronger focus on practical applications and ""practical know-how"" rather than pure theoretical contributions, partially meeting the theoretical contribution criterion.",yes,"The paper is written in English, meeting the publication language criterion.",maybe,"The full text accessibility of the paper cannot be determined from the abstract alone, though being a seminar paper suggests it might be available through academic channels.",Exclude,"The document explores programming paradigms with a strong emphasis on comparative analysis across object-oriented, template-oriented, and functional programming techniques. While demonstrating robust theoretical foundations in language design principles, the work appears more oriented toward practical applications and cross-paradigm understanding rather than rigorous mathematical frameworks. The research aims to bridge theoretical insights with practical implementation strategies across different programming approaches.",3.5
Programming Paradigms and Computational Thinking,G. Michaelson,-,-,-,0,2018,maybe,"While the paper analyzes fundamental concepts of programming paradigms, it does not appear to focus on specific language constructs or computational primitives.",no,The abstract does not indicate the use of formal mathematical frameworks or verification approaches. The paper appears to be more conceptual and philosophical in nature.,yes,"The paper explicitly examines programming paradigm foundations and their relationships, questioning the traditional view of paradigms as distinct entities.",no,"The paper discusses programming paradigms and their relationships, but does not explicitly focus on orthogonality or minimality. It takes a more meta-level view of paradigms.",no,"While the paper discusses theoretical aspects of programming paradigms, it does not appear to present a formal mathematical framework. It seems to focus on conceptual analysis.",no,"The abstract does not discuss implementation or tools, focusing instead on theoretical aspects of paradigms.",maybe,"The paper appears to make theoretical contributions by challenging existing views of programming paradigms and proposing a unitary paradigm of computational thinking. However, it seems more philosophical than mathematical.",yes,"The paper is written in English, meeting this criterion.",maybe,The full-text accessibility of the paper cannot be determined from the abstract alone.,Exclude,"The abstract explores programming paradigms from a philosophical perspective, challenging traditional conceptualizations and proposing a unitary computational thinking approach. While demonstrating strong theoretical engagement with paradigm theory, the work lacks explicit formal mathematical frameworks or rigorous verification methods. The philosophical nature of the analysis suggests limited alignment with strict theoretical screening criteria.",3.2
Linguistic Symbiosis through coroutined interpretation,"T. D'Hondt, K. Gybels, M. D'Hondt, A. Peeters",-,-,-,0,2003,yes,"The paper analyzes fundamental programming language constructs at a theoretical level, particularly regarding paradigm combination and linguistic symbiosis.",no,The abstract does not indicate the use of formal mathematical frameworks or rigorous verification approaches. The paper appears to be more conceptual and descriptive.,yes,"The paper explicitly focuses on programming paradigms and their combination, discussing various paradigms (functional, imperative, object-oriented, concurrent, logic) and their compatibility.",maybe,"The paper discusses linguistic symbiosis and paradigm combination, which relates to fundamental design principles, but it does not explicitly address orthogonality or minimality.",no,"While the paper discusses theoretical concepts of paradigm combination, it does not explicitly mention a formal theoretical foundation or mathematical framework.",maybe,"The abstract suggests a focus on theoretical aspects of paradigm combination rather than practical implementation, though it mentions ""true language engineering.""",maybe,"The paper appears to make theoretical contributions about paradigm combination and linguistic symbiosis, though it seems to lean more towards conceptual analysis than rigorous theoretical development.",yes,"The paper is written in English, meeting this criterion.",maybe,"The full-text accessibility of the paper cannot be determined from the abstract alone, which is a common limitation in screening.",Exclude,"The abstract demonstrates strong engagement with programming language paradigms and theoretical analysis, particularly in exploring linguistic symbiosis across different programming styles. While the work shows significant theoretical depth in examining paradigm combination, it lacks explicit formal mathematical frameworks or rigorous verification approaches. The research appears conceptually rich but potentially limited in its formal theoretical foundations.",3.5
Execution models for Constraint Programming: kernel language design through semantics equivalence. . (Modèles d'exe'cution pour la programmation par contraintes : conception d'un langage noyau par le biais d'e'quivalences se'mantiques),Thierry Martinez,-,-,-,0,2015,yes,"The paper analyzes fundamental programming language constructs at a theoretical level, including execution models, control mechanisms, and synchronization primitives.",yes,"The paper presents formal mathematical frameworks for analyzing programming language properties, including logical provability, constraint propagation, and semantic equivalence.",yes,"The paper directly examines programming paradigm foundations, specifically logic programming and constraint programming, and provides comparative theoretical analysis between paradigms.",yes,"The paper explicitly deals with fundamental design principles in programming languages, particularly focusing on declarative programming paradigms and their execution models.",yes,"The work is deeply theoretical, focusing on formal semantics, logical foundations, and mathematical frameworks for programming paradigms.",yes,"While implementation aspects are discussed (e.g., ClpZinc modeling language), they serve to support broader theoretical contributions rather than being the primary focus.",yes,"The paper focuses on theoretical contributions, including semantic equivalences, formal transformations, and fundamental properties of programming paradigms.",yes,"The paper is written in English, meeting the publication language criterion.",maybe,"The full text of the paper is likely accessible through academic channels, as it appears to be a thesis.",Include,"This thesis provides a rigorous theoretical exploration of programming language paradigms, focusing on formal semantic equivalences and mathematical frameworks for logic and constraint programming. The work deeply examines fundamental design principles, presenting constructive transformations and semantic analyses that contribute significantly to theoretical understanding of programming language constructs. Its comprehensive approach to paradigm theory, formal frameworks, and fundamental computational primitives demonstrates a sophisticated scholarly investigation of programming language foundations.",4.9
Object management support for the construction of complex applications,"P. Tarr, L. Clarke",-,-,-,1,1996,yes,"The paper analyzes fundamental programming language constructs and computational primitives at a theoretical level, particularly regarding object management and semantic models.",yes,"The abstract explicitly mentions ""formally define some of these semantic models,"" indicating a formal mathematical framework is used.",yes,"The paper directly addresses programming paradigm foundations, specifically the integration of programming language and database paradigms. It provides comparative theoretical analysis of these paradigms.",yes,"The paper discusses fundamental design principles in programming languages, particularly regarding the integration of programming language and database capabilities. It addresses orthogonality in the sense of unifying different paradigms.",yes,"The paper appears to have a strong theoretical foundation, discussing semantic models and their integration. The mention of formal definition suggests mathematical rigor.",yes,The implementation (prototype) is used to support theoretical contributions rather than being the primary focus. The abstract emphasizes theoretical aspects and semantic models.,yes,"The paper makes theoretical contributions by addressing the fundamental integration of programming language and database capabilities. While it includes implementation, this appears to support theoretical contributions.",yes,"The paper is written in English, meeting the publication language criterion.",maybe,"The full-text accessibility of the paper cannot be determined from the abstract alone, which is a common limitation in screening.",Include,"The research presents a rigorous theoretical exploration of programming language and database paradigm integration, utilizing formal semantic models and addressing fundamental design principles. By examining the theoretical foundations of object management and proposing a novel ""database programming language"" approach, the study offers substantive contributions to understanding computational paradigms and their semantic interactions. The work demonstrates strong theoretical depth through its formal framework and comparative analysis of programming language constructs.",4.6
Advanced Seminar on Foundations of Innovative Software Development II and Colloquium on Functional and Logic Programming and Specifications (CFLP),"H. Ehrig, Colloquium on Functional, Specifications",-,-,-,2,1987,yes,"The paper analyzes fundamental programming language constructs or computational primitives at a theoretical level, as indicated by topics like ""Linear logic and lazy computation,"" ""Natural dynamic semantics,"" and ""Canonical term functors.""",yes,"The paper presents and utilizes formal mathematical frameworks and rigorous verification approaches, as indicated by mentions of ""linear logic,"" ""natural dynamic semantics,"" and ""canonical term functors.""",yes,"The paper examines programming paradigm foundations and provides comparative theoretical analysis of paradigms, as seen in topics like ""Retractions: A functional paradigm for logic programming"" and ""Higher order generalization.""",yes,"The paper investigates fundamental design principles in programming languages, such as orthogonality and minimality, as evidenced by topics like ""Extensional models for polymorphism"" and ""A type discipline for program modules.""",yes,"The paper includes a formal theoretical foundation or mathematical framework to support its claims, as evidenced by topics like ""Models and equality for logical programming,"" ""Inductive assertion method,"" and ""Theory and practice of canonical term functors.""",yes,"The paper's discussion of implementation or tools serves to support broader theoretical contributions rather than focusing solely on practical aspects, as evidenced by topics like ""Implementing algebraically specified abstract data types.""",yes,"The paper contributes to theoretical understanding rather than focusing exclusively on practical patterns, optimization, or educational aspects, as most entries focus on theoretical contributions.",yes,"The paper appears to be written in English, meeting the language requirement.",maybe,"The full text of the paper is likely accessible through academic channels, given its technical nature and probable academic publication.",Include,"The abstract demonstrates strong theoretical foundations in programming language research, with multiple entries exploring formal frameworks, paradigm theory, and fundamental computational principles. Topics ranging from linear logic and semantic unification to type disciplines and canonical term functors indicate a rigorous, mathematically-oriented approach to understanding programming language design and theoretical constructs. The work appears to prioritize theoretical contributions over practical implementations, suggesting a deep scholarly investigation of computational principles.",4.6
Combining OO and Functional Language Concepts,Qiang Zhen,-,-,-,0,2000,yes,"The paper analyzes fundamental programming language constructs (objects, classes, inheritance, etc.) at a theoretical level, meeting the fundamental analysis criterion.",yes,"The paper presents a formal core language and mentions ""operational semantics"", indicating a rigorous mathematical framework, meeting the formal framework criterion.",yes,"The paper's central focus is on combining object-oriented and functional programming paradigms, providing comparative theoretical analysis, meeting the paradigm theory criterion.",yes,"The paper explicitly focuses on combining programming paradigms and discusses fundamental design principles like orthogonality, meeting the language design principles criterion.",yes,"The paper presents a theoretical foundation for combining programming paradigms with formal operational semantics, meeting the theoretical foundation criterion.",yes,"While implementation aspects are discussed, they serve to support the theoretical contributions about paradigm combination, meeting the implementation focus criterion.",yes,"The paper focuses on theoretical contributions to programming language design rather than practical implementations, meeting the theoretical contribution criterion.",yes,"The paper is written in English, meeting the publication language criterion.",maybe,"The full-text accessibility of the paper cannot be determined from the abstract alone, which is a common limitation in screening.",Include,"A comprehensive theoretical exploration of programming language paradigms, combining object-oriented and functional approaches through a rigorous formal framework with operational semantics. The study presents a core language that systematically integrates fundamental programming concepts from multiple languages, offering a novel approach to language design principles and paradigm combination. Its strong theoretical foundation and focus on fundamental computational constructs make it a significant contribution to programming language research.",4.9
Design and implementation of static analyses for higher-order languages,Ilya Sergey,-,-,-,0,2015,yes,"The paper analyzes fundamental programming language constructs, computational primitives, and theoretical foundations of programming language analysis.",yes,"The paper explicitly discusses formal frameworks, including monadic abstract interpretation, logic-based approaches to verification, and formal mathematical frameworks for mechanized verification.",yes,"The paper discusses functional programming paradigms, concurrent programming paradigms, and higher-order programming concepts.",maybe,"The paper discusses programming language analysis and verification, and addresses fundamental design principles through its discussion of monadic abstract interpreters, though it does not explicitly focus on orthogonality or minimality.",yes,"The paper presents mathematical foundations for abstract interpretation, formal logic frameworks for concurrent program verification, and theoretical foundations for cardinality analysis.",yes,"While implementation aspects are discussed, such as GHC compiler integration, they serve to support and demonstrate theoretical contributions rather than being the primary focus.",yes,"The paper focuses on theoretical foundations of static analysis, formal verification approaches, and mathematical frameworks for programming language analysis.",yes,"The paper is written in English, meeting the publication language criterion.",maybe,"The technical nature and references in the paper suggest it is likely an academic paper with accessible full text, though this cannot be determined from the abstract alone.",Include,"This research presents a comprehensive theoretical exploration of programming language analysis, focusing on formal frameworks, verification approaches, and fundamental computational principles across functional and concurrent programming paradigms. The work demonstrates rigorous mathematical foundations in static analysis, monadic interpretation, and logic-based verification, with significant contributions to theoretical understanding of programming language constructs. By integrating theoretical insights with practical implementation considerations, the study offers a sophisticated examination of computational design and verification methodologies.",4.9
First-order Lax Logicas a framework for Constraint Logic,"M. Fairtlough, M. Mendler, M. Walton",-,-,-,0,1997,yes,"The paper analyzes fundamental logical constructs, computational primitives, and the theoretical foundations of programming paradigms.",yes,"The paper presents a formal mathematical framework, including a Gentzen-type system, first-order bimodal theory, Curry-Howard isomorphism, and formal proof systems.",yes,"The paper examines the Lax Logic Programming (LLP) paradigm, the Constraint Logic Programming (CLP) paradigm, and provides comparative theoretical analysis between these paradigms.",maybe,"The paper discusses formal logical frameworks and their application to programming languages, particularly focusing on Lax Logic and its relationship to programming paradigms. While not explicitly discussing orthogonality or minimality, it does address fundamental design principles through its analysis of logical frameworks.",yes,"The paper is heavily theoretical, presenting soundness and completeness theorems, formal logical frameworks, and mathematical foundations for constraint logic programming.",maybe,The paper appears to use implementation aspects (CLP programs) to support theoretical contributions rather than focusing on practical implementation details.,yes,"The paper focuses on the theoretical foundations of programming paradigms, formal logical frameworks, and mathematical relationships between different programming approaches.",yes,"The paper is written in English, meeting the publication language criterion.",maybe,"While the full-text accessibility cannot be determined from the abstract alone, the presence of formal citations suggests this is likely an academic paper that would be accessible through academic channels.",Include,"This research presents a rigorous theoretical exploration of programming language paradigms through formal mathematical frameworks, focusing on Lax Logic and Constraint Logic Programming. The study provides a comprehensive theoretical analysis of computational primitives, paradigm foundations, and logical constructs, utilizing sophisticated mathematical techniques like Gentzen-type systems and Curry-Howard isomorphism. By examining fundamental design principles and offering a comparative theoretical approach, the work contributes significantly to understanding programming language theory.",4.9
Synthesis from multi-paradigm specifications,"Ioannis Filippidis, R. Murray, G. Holzmann",-,-,-,2,2015,yes,"The paper analyzes fundamental programming language constructs, examining basic programming language elements, control flow, data control, and sequential constraints.",yes,"The paper uses a formal framework, including two-player turn-based infinite games with full information, formal semantics, LTL, and generalized reactivity(1), as well as formal synthesis algorithms.",yes,"The paper explicitly examines programming paradigms, integrating imperative and declarative paradigms, analyzing their comparative strengths, and discussing paradigm choice for different requirements.",yes,"The paper discusses language design principles, particularly the integration of imperative and declarative elements in a programming language, and addresses fundamental design considerations for reactive synthesis problems.",yes,"The paper has a clear theoretical foundation, based on formal game theory, using mathematical frameworks (LTL, reactivity1)(), and including a formal semantics definition.",yes,"The implementation serves theoretical goals, with the translation to the Slugs synthesizer supporting the theoretical framework, and the implementation details being secondary to the theoretical contributions.",yes,"The paper has a strong theoretical focus, developing a new language framework, contributing to theoretical understanding of reactive synthesis, and focusing on fundamental language design.",yes,"The paper is written in English, meeting the publication language criterion.",maybe,"The technical nature and implementation details of the paper suggest it is likely a formal academic paper with accessible full text, though this cannot be determined from the abstract alone.",Include,"A rigorous theoretical study exploring programming language design principles through the integration of imperative and declarative paradigms, utilizing formal mathematical frameworks like game theory and linear temporal logic. The research provides a comprehensive theoretical contribution to reactive synthesis, examining fundamental computational constructs and paradigm foundations with a strong emphasis on mathematical rigor and formal analysis.",4.9
"A PROPOSAL FOR HARMONISING TYPES , INHERITANCE AND POLYMORPHISM FOR OBJECT-ORIENTED PROGRAMMING","A. Simons, A. J. Cowling",-,-,-,1,2006,yes,"The paper analyzes fundamental OOP constructs at a theoretical level, particularly focusing on typing systems and class properties.",yes,"The abstract explicitly mentions ""formal typed models"" and discusses the challenge of creating a ""typed functional algebra,"" strongly indicating the use of a formal mathematical framework.",yes,"The abstract directly addresses programming paradigm foundations, comparing different OOP schools (HCI, AI, SE) and their theoretical underpinnings.",yes,"The abstract discusses fundamental design principles in OOP, including typing systems and class properties, meeting this criterion.",yes,"The paper appears to focus on theoretical foundations, discussing formal models and operational definitions of OOP languages.",yes,"The abstract discusses implementation aspects (like typing systems) in service of theoretical understanding, meeting this criterion.",yes,"The focus is clearly theoretical, examining fundamental properties of OOP and formal modeling rather than practical applications.",yes,"The paper is written in English, meeting the publication language criterion.",maybe,"The presence of citations suggests this is likely a formal academic paper, but the full-text accessibility cannot be determined from the abstract alone.",Include,"The abstract demonstrates a rigorous theoretical exploration of Object-Oriented Programming paradigms, focusing on formal modeling, typing systems, and fundamental design principles across different computational schools. Its strong emphasis on mathematical frameworks, paradigm foundations, and theoretical analysis of programming language constructs aligns closely with the screening criteria. The research appears to provide a sophisticated examination of OOP's theoretical underpinnings, particularly in the context of formal typed models and computational abstractions.",4.9
Analysis of paradigm use in multiparadigm language programs,D. S. Westbrook,-,-,-,0,1998,maybe,"The paper analyzes fundamental programming language constructs through the lens of paradigms, though it is more focused on paradigm usage patterns than basic computational primitives.",yes,"The paper presents a formal paradigm inference system with inference rules, which constitutes a formal mathematical framework.",yes,"The paper directly examines programming paradigm foundations and provides comparative theoretical analysis across multiple paradigms (imperative, functional, logic, and object-oriented).",no,The paper discusses paradigmatic aspects of programming languages but does not explicitly focus on orthogonality or minimality. It is more focused on paradigm usage analysis.,yes,"The paper develops a theoretical model (paradigmatic map) and formalizes paradigm associations through inference rules, providing a solid theoretical foundation.",yes,The implementation (GPA tool) serves to support and validate the theoretical contributions rather than being the primary focus.,yes,"The paper makes theoretical contributions through its paradigmatic map model and inference system, though it also includes practical implementation (GPA tool). The theoretical aspects appear primary.",yes,"The paper is written in English, meeting this criterion.",maybe,"The full text of the paper is likely accessible through academic channels, as it is a dissertation.",Include,"A comprehensive theoretical exploration of programming language paradigms, presenting a formal mathematical framework for analyzing paradigm usage across multiple programming approaches. The study develops a rigorous paradigm inference system and theoretical model that examines fundamental language constructs through a comparative lens, with strong emphasis on theoretical contributions and paradigmatic analysis. While demonstrating robust theoretical foundations, the research maintains a balanced approach between theoretical depth and practical implementation.",4.6
1 LFG qua concurrent constraint programming,V. Saraswat,-,-,-,0,2007,yes,"The paper analyzes fundamental constructs at a theoretical level, including the basic structure of constraints, properties of constraint systems, and fundamental relationships between different analytical dimensions.",yes,"The paper clearly presents a formal mathematical framework, including context-free grammar for c-structure, attribute-value matrices for f-structure, linear logic for semantic projections, and formal constraint systems.",yes,"The paper examines fundamental paradigm foundations, specifically the compositional computing paradigm, constraint-based programming paradigm, and multiple dimensions of analysis (c-structure, f-structure, semantic structure).",yes,"The paper discusses fundamental design principles in the context of LFG (Lexical Functional Grammar), including orthogonality and compositional principles. The abstract specifically mentions ""separation of concerns"" and ""compositionality.""",yes,"The paper has a strong theoretical foundation, evident through the mathematical formalism of constraint systems, formal treatment of semantic projections, and theoretical properties of constraints (partial information, additivity, etc.).",yes,"While implementation aspects are mentioned, they serve to support theoretical contributions rather than being the primary focus.",yes,"The paper appears to focus on theoretical contributions rather than practical applications, discussing fundamental properties and theoretical frameworks.",yes,"The paper is written in English, meeting the publication language criterion.",maybe,The full-text accessibility of the paper cannot be determined from the abstract alone.,Include,"The abstract demonstrates a rigorous theoretical exploration of Lexical Functional Grammar, presenting a comprehensive formal framework with mathematical foundations in constraint systems and semantic projections. It systematically addresses multiple dimensions of language analysis through a sophisticated paradigm of compositional computing, with strong emphasis on theoretical principles and fundamental computational constructs. The work exhibits deep theoretical contributions across language design, paradigm theory, and formal analysis, meeting most screening criteria with high precision.",4.9
Multi-paradigm Logic Programming a Simple Operational Model for Concurrent Functional Logic Programming,M. Hanus,-,-,-,0,2007,yes,"The paper analyzes fundamental programming language constructs at a theoretical level, specifically examining operational semantics and evaluation principles, which meets the fundamental analysis criterion.",yes,"The paper presents an operational semantics framework, which is a formal mathematical approach for analyzing programming language properties, and this clearly meets the formal framework criterion.",yes,"The paper explicitly examines programming paradigm foundations, combining functional, logic, and concurrent programming paradigms, which strongly meets the paradigm theory criterion.",yes,"The paper discusses fundamental design principles by examining operational semantics and combining principles from different programming paradigms, which strongly meets the language design principles criterion.",yes,"The study appears to have a strong theoretical foundation, focusing on formal operational semantics and combining different programming paradigms' principles, which meets the theoretical foundation criterion.",yes,"The abstract suggests the focus is on theoretical foundations rather than implementation details, meeting the implementation focus criterion.",yes,"The focus is clearly theoretical, examining fundamental principles and their combination rather than practical applications, which meets the theoretical contribution criterion.",yes,"The paper is written in English, which meets the publication language criterion.",maybe,"The full-text accessibility of the paper cannot be determined from the abstract alone, which is a common limitation in screening.",Include,"The study presents a rigorous theoretical investigation of programming language paradigms, focusing on operational semantics and the combination of functional, logic, and concurrent programming principles. By examining fundamental design principles through a formal mathematical framework, the research contributes significantly to theoretical understanding of programming language constructs and paradigm interactions. The work demonstrates a strong emphasis on theoretical foundations, paradigm theory, and fundamental analysis of computational principles.",4.7
Programming and Reasoning with Infinite Data in Isabelle / HOL,"M. Fleury, Andreas Lochbihler, A. Popescu",-,-,-,0,2017,yes,"The study analyzes fundamental programming language constructs at a theoretical level, particularly focusing on infinite objects and coinductive datatypes.",yes,"The study clearly involves formal mathematical frameworks, using Isabelle/HOL as a proof assistant and discussing formal reasoning about infinite objects.",yes,"The paper explicitly examines programming paradigms, specifically ""total/productive coprogramming"" and its theoretical foundations.",yes,"The paper discusses fundamental design principles in programming languages, specifically focusing on total/productive coprogramming and coinductive datatypes.",yes,"The work is deeply theoretical, focusing on formal foundations of programming languages and mathematical frameworks for reasoning about infinite objects.",yes,"While implementation aspects are mentioned (compiler for concurrent Java), these serve to support the theoretical contributions rather than being the primary focus.",yes,"The work appears to be primarily theoretical, focusing on formal frameworks and reasoning rather than practical applications.",yes,"The paper is written in English, meeting the publication language criterion.",maybe,"The abstract appears to be from a tutorial presentation, and it's unclear if a full paper exists or is accessible, creating some uncertainty about the full-text accessibility.",Include,"A comprehensive theoretical exploration of programming language design principles, focusing on formal mathematical frameworks and paradigm foundations through the lens of Isabelle/HOL. The work demonstrates rigorous theoretical contributions in programming language analysis, examining fundamental constructs like infinite objects and coinductive datatypes with a strong emphasis on mathematical reasoning and paradigm theory. While the full-text accessibility remains uncertain, the research clearly meets multiple theoretical and formal framework screening criteria.",4.6
Acknowledgements I am much indebted to Mark Norris of British Telecom Research Laboratories for promoting and encouraging my interest in applying definitive principles to concur-,"M. Slade, E. Yung, W. M. Beynon, Y. Yung, A. Cartwright",-,-,-,0,2007,yes,"The paper analyzes fundamental programming language constructs, particularly in the context of concurrent programming and multiprocessor architectures.",maybe,"The abstract mentions an ""abstract machine model"" and discusses theoretical foundations, suggesting some formal framework, though the depth isn't entirely clear.",yes,"The paper explicitly examines programming paradigms, comparing ""definitive programming"" with existing paradigms and discussing their relative merits.",yes,"The paper discusses programming language principles and paradigms, particularly focusing on ""definitive programming"" as a novel approach, suggesting investigation of fundamental design principles.",yes,"The paper appears to have a theoretical foundation, discussing ""definitive principles"" and their application to concurrent programming. The mention of ""abstract machine model"" suggests mathematical/theoretical underpinnings.",yes,The abstract suggests the implementation discussion (abstract machine model) serves theoretical purposes rather than being the primary focus.,yes,"The paper appears to focus on theoretical contributions, proposing a new paradigm and analyzing its theoretical foundations rather than practical implementations.",yes,"The paper is written in English, meeting the publication language criterion.",maybe,"The full-text accessibility of the paper cannot be determined from the abstract alone, which is a common limitation in screening.",Include,"The research presents a novel theoretical approach to programming paradigms, focusing on definitive programming principles for concurrent computing across multiprocessor architectures. By exploring fundamental language design principles, paradigm foundations, and an abstract machine model, the study offers a rigorous theoretical contribution to understanding programming language constructs. The work demonstrates strong alignment with theoretical research criteria, particularly in examining programming paradigm foundations and proposing innovative computational frameworks.",4.6
Readings and Reflections about Hierarchy and Heterarchy in Programming Paradigms,-,-,-,-,0,2007,yes,"The paper clearly analyzes fundamental programming language constructs at a theoretical level, particularly focusing on data types, object types, and computational primitives, indicating the study analyzes fundamental programming language constructs.",yes,"The abstract heavily engages with formal mathematical concepts, specifically discussing algebras, coalgebras, and recursive type equations, suggesting the study presents or utilizes a formal mathematical framework.",yes,"The abstract explicitly discusses programming paradigms, comparing different approaches (algebraic vs. coalgebraic, object-oriented vs. traditional) and their fundamental properties, suggesting the research examines programming paradigm foundations.",yes,"The abstract discusses fundamental principles of programming languages, particularly focusing on algebraic and coalgebraic approaches to data types and object types, indicating the study investigates language design principles.",yes,"The paper appears to have a strong theoretical foundation, discussing mathematical concepts like fixed points, recursive type equations, and formal distinctions between algebraic and coalgebraic approaches, indicating the inclusion of a formal theoretical foundation.",yes,"The abstract maintains a theoretical focus, with any discussion of implementation serving to illustrate theoretical points rather than being the primary focus, suggesting the study's discussion of implementation supports broader theoretical contributions.",yes,"The focus appears to be entirely theoretical, discussing fundamental properties and distinctions in programming language design, indicating the study contributes to theoretical understanding.",yes,"The paper is written in English, meeting the publication language criterion.",maybe,"The presence of a URL suggests the full text may be accessible online, but this cannot be definitively determined from the abstract alone.",Include,"The abstract demonstrates a rigorous theoretical exploration of programming language design principles, utilizing formal mathematical frameworks to analyze fundamental computational paradigms and type systems. Its deep engagement with algebraic and coalgebraic approaches, coupled with a comprehensive examination of programming language constructs, strongly aligns with theoretical research criteria. The work appears to provide a sophisticated mathematical foundation for understanding programming language structures and computational interactions.",4.9
